[11:35:45] Step 29810 | Total: 2.0585 | CDS: 1.8983
[11:35:59] Step 29815 | Total: 1.8994 | CDS: 1.7854
[11:36:13] Step 29820 | Total: 1.9836 | CDS: 1.8877
[11:36:27] Step 29825 | Total: 1.9973 | CDS: 1.8394
[11:36:41] Step 29830 | Total: 2.2453 | CDS: 2.0367
[11:36:55] Step 29835 | Total: 2.3896 | CDS: 2.2486
[11:37:10] Step 29840 | Total: 2.0357 | CDS: 1.8790
[11:37:24] Step 29845 | Total: 2.1501 | CDS: 2.0512
[11:37:38] Step 29850 | Total: 1.8654 | CDS: 1.7458
[11:37:58] 💾 Full checkpoint saved at Epoch 22, Step 29850, Batch 3679
[11:38:12] Step 29855 | Total: 1.9263 | CDS: 1.8224
[11:38:26] Step 29860 | Total: 1.8454 | CDS: 1.7304
[11:38:40] Step 29865 | Total: 2.2406 | CDS: 2.1035
[11:38:54] Step 29870 | Total: 2.2456 | CDS: 2.0256
[11:39:09] Step 29875 | Total: 2.0473 | CDS: 1.8866
[11:39:23] Step 29880 | Total: 1.8013 | CDS: 1.6602
[11:39:37] Step 29885 | Total: 2.7189 | CDS: 2.5648
[11:39:51] Step 29890 | Total: 1.9538 | CDS: 1.8341
[11:40:05] Step 29895 | Total: 2.1859 | CDS: 2.0472
[11:40:19] Step 29900 | Total: 2.0260 | CDS: 1.8531
[11:40:33] Step 29905 | Total: 2.1318 | CDS: 1.9690
[11:40:47] Step 29910 | Total: 1.9832 | CDS: 1.8691
[11:41:01] Step 29915 | Total: 2.1407 | CDS: 1.9685
[11:41:16] Step 29920 | Total: 2.1580 | CDS: 1.9295
[11:41:30] Step 29925 | Total: 1.9729 | CDS: 1.8182
[11:41:44] Step 29930 | Total: 2.1241 | CDS: 1.9646
[11:41:58] Step 29935 | Total: 2.1917 | CDS: 2.0595
[11:42:12] Step 29940 | Total: 2.0721 | CDS: 1.9361
[11:42:26] Step 29945 | Total: 2.0164 | CDS: 1.8880
[11:42:40] Step 29950 | Total: 1.9575 | CDS: 1.8672
[11:42:54] Step 29955 | Total: 1.8728 | CDS: 1.7448
[11:43:08] Step 29960 | Total: 1.9437 | CDS: 1.8075
[11:43:22] Step 29965 | Total: 2.0233 | CDS: 1.8659
[11:43:36] Step 29970 | Total: 2.1539 | CDS: 1.9856
[11:43:51] Step 29975 | Total: 1.8690 | CDS: 1.7670
[11:44:05] Step 29980 | Total: 1.8951 | CDS: 1.7855
[11:44:19] Step 29985 | Total: 2.0447 | CDS: 1.9182
[11:44:33] Step 29990 | Total: 3.0321 | CDS: 2.8474
[11:44:47] Step 29995 | Total: 1.9558 | CDS: 1.8425
[11:45:01] Step 30000 | Total: 2.1237 | CDS: 1.9683
[11:45:22] 💾 Full checkpoint saved at Epoch 22, Step 30000, Batch 4279
[11:45:36] Step 30005 | Total: 2.0608 | CDS: 1.9114
[11:45:50] Step 30010 | Total: 1.9108 | CDS: 1.7902
[11:46:04] Step 30015 | Total: 1.9885 | CDS: 1.8622
[11:46:18] Step 30020 | Total: 2.4500 | CDS: 2.2226
[11:46:32] Step 30025 | Total: 1.8896 | CDS: 1.7888
[11:46:46] Step 30030 | Total: 2.3236 | CDS: 2.0868
[11:47:00] Step 30035 | Total: 1.8970 | CDS: 1.7662
[11:47:15] Step 30040 | Total: 2.1303 | CDS: 1.9943
[11:47:29] Step 30045 | Total: 2.3496 | CDS: 2.2258
[11:47:43] Step 30050 | Total: 1.9673 | CDS: 1.7982
[11:47:57] Step 30055 | Total: 2.0148 | CDS: 1.8688
[11:48:11] Step 30060 | Total: 2.3426 | CDS: 2.2116
[11:48:25] Step 30065 | Total: 2.0262 | CDS: 1.8782
[11:48:39] Step 30070 | Total: 2.0416 | CDS: 1.8757
[11:48:53] Step 30075 | Total: 1.9607 | CDS: 1.8481
[11:49:07] Step 30080 | Total: 2.0730 | CDS: 1.9673
[11:49:22] Step 30085 | Total: 2.1847 | CDS: 2.0187
[11:49:36] Step 30090 | Total: 2.2166 | CDS: 2.0891
[11:49:50] Step 30095 | Total: 1.9425 | CDS: 1.8037
[11:50:04] Step 30100 | Total: 2.0522 | CDS: 1.9146
[11:50:18] Step 30105 | Total: 2.0859 | CDS: 1.9312
[11:50:32] Step 30110 | Total: 1.9759 | CDS: 1.8468
[11:50:46] Step 30115 | Total: 2.3269 | CDS: 2.1379
[11:51:00] Step 30120 | Total: 2.0611 | CDS: 1.9007
[11:51:15] Step 30125 | Total: 2.0329 | CDS: 1.8803
[11:51:29] Step 30130 | Total: 2.0427 | CDS: 1.9429
[11:51:43] Step 30135 | Total: 1.8744 | CDS: 1.7613
[11:51:57] Step 30140 | Total: 1.8677 | CDS: 1.7440
[11:52:11] Step 30145 | Total: 2.3176 | CDS: 2.1365
[11:52:25] Step 30150 | Total: 2.4373 | CDS: 2.2871
[11:52:45] 💾 Full checkpoint saved at Epoch 22, Step 30150, Batch 4879
[11:52:59] Step 30155 | Total: 2.0065 | CDS: 1.8507
[11:53:13] Step 30160 | Total: 2.1947 | CDS: 2.0477
[11:53:28] Step 30165 | Total: 2.2326 | CDS: 2.0225
[11:53:42] Step 30170 | Total: 2.0174 | CDS: 1.9111
[11:53:56] Step 30175 | Total: 2.2086 | CDS: 2.0791
[11:54:10] Step 30180 | Total: 1.9637 | CDS: 1.8462
[11:54:24] Step 30185 | Total: 2.0333 | CDS: 1.9199
[11:54:38] Step 30190 | Total: 2.3221 | CDS: 2.1588
[11:54:52] Step 30195 | Total: 3.0344 | CDS: 2.7186
[11:55:06] Step 30200 | Total: 2.4339 | CDS: 2.2349
[11:55:20] Step 30205 | Total: 2.2724 | CDS: 2.1270
[11:55:34] Step 30210 | Total: 2.4821 | CDS: 2.3588
[11:55:48] Step 30215 | Total: 1.9089 | CDS: 1.7616
[11:56:03] Step 30220 | Total: 1.9099 | CDS: 1.7663
[11:56:17] Step 30225 | Total: 1.9854 | CDS: 1.8602
[11:56:31] Step 30230 | Total: 2.3809 | CDS: 2.1739
[11:56:45] Step 30235 | Total: 1.9593 | CDS: 1.8357
[11:56:59] Step 30240 | Total: 1.8634 | CDS: 1.6768
[11:57:13] Step 30245 | Total: 2.0252 | CDS: 1.8906
[12:05:04] 📊 Epoch 23 Val: Loss 1.2612
[12:05:24] 💾 Full checkpoint saved at Epoch 23, Step 30245, Batch -1
[12:05:44] 💾 Full checkpoint saved at Epoch 23, Step 30245, Batch -1
[12:05:59] Step 30250 | Total: 2.0339 | CDS: 1.9002
[12:06:13] Step 30255 | Total: 1.9535 | CDS: 1.8218
[12:06:27] Step 30260 | Total: 2.0476 | CDS: 1.9084
[12:06:41] Step 30265 | Total: 2.2596 | CDS: 2.0686
[12:06:55] Step 30270 | Total: 2.0472 | CDS: 1.8967
[12:07:09] Step 30275 | Total: 1.8857 | CDS: 1.7822
[12:07:24] Step 30280 | Total: 2.5140 | CDS: 2.3846
[12:07:38] Step 30285 | Total: 2.1000 | CDS: 1.9544
[12:07:52] Step 30290 | Total: 1.9915 | CDS: 1.8696
[12:08:06] Step 30295 | Total: 1.9356 | CDS: 1.8196
[12:08:21] Step 30300 | Total: 1.9940 | CDS: 1.8698
[12:09:17] 💾 Full checkpoint saved at Epoch 23, Step 30300, Batch 219
[12:09:31] Step 30305 | Total: 1.8423 | CDS: 1.7419
[12:09:45] Step 30310 | Total: 1.9318 | CDS: 1.8182
[12:09:59] Step 30315 | Total: 2.0768 | CDS: 1.9392
[12:10:13] Step 30320 | Total: 1.8902 | CDS: 1.7712
[12:10:27] Step 30325 | Total: 2.5266 | CDS: 2.3551
[12:10:41] Step 30330 | Total: 2.4131 | CDS: 2.2968
[12:10:55] Step 30335 | Total: 3.0117 | CDS: 2.8715
[12:11:09] Step 30340 | Total: 1.9151 | CDS: 1.8196
[12:11:24] Step 30345 | Total: 1.8270 | CDS: 1.6792
[12:11:38] Step 30350 | Total: 2.0587 | CDS: 1.9230
[12:11:52] Step 30355 | Total: 2.1457 | CDS: 2.0469
[12:12:06] Step 30360 | Total: 2.1791 | CDS: 2.0659
[12:12:20] Step 30365 | Total: 2.1100 | CDS: 1.9899
[12:12:34] Step 30370 | Total: 2.0573 | CDS: 1.9311
[12:12:48] Step 30375 | Total: 2.5307 | CDS: 2.3439
[12:13:02] Step 30380 | Total: 2.1792 | CDS: 1.9754
[12:13:16] Step 30385 | Total: 2.0263 | CDS: 1.9242
[12:13:30] Step 30390 | Total: 2.0178 | CDS: 1.8820
[12:13:44] Step 30395 | Total: 2.3182 | CDS: 2.1839
[12:13:58] Step 30400 | Total: 2.3985 | CDS: 2.2129
[12:14:13] Step 30405 | Total: 2.2418 | CDS: 2.0637
[12:14:27] Step 30410 | Total: 2.0120 | CDS: 1.8791
[12:14:41] Step 30415 | Total: 2.1012 | CDS: 1.9826
[12:14:55] Step 30420 | Total: 2.2451 | CDS: 2.0055
[12:15:09] Step 30425 | Total: 2.4537 | CDS: 2.2693
[12:15:23] Step 30430 | Total: 1.9122 | CDS: 1.7841
[12:15:37] Step 30435 | Total: 1.9577 | CDS: 1.8403
[12:15:51] Step 30440 | Total: 2.5662 | CDS: 2.4007
[12:16:05] Step 30445 | Total: 2.0864 | CDS: 1.9184
[12:16:19] Step 30450 | Total: 2.1709 | CDS: 2.0635
[12:16:40] 💾 Full checkpoint saved at Epoch 23, Step 30450, Batch 819
[12:16:54] Step 30455 | Total: 2.2976 | CDS: 2.1021
[12:17:08] Step 30460 | Total: 1.8975 | CDS: 1.7696
[12:17:22] Step 30465 | Total: 1.9205 | CDS: 1.8016
[12:17:36] Step 30470 | Total: 2.1800 | CDS: 2.0284
[12:17:50] Step 30475 | Total: 1.9140 | CDS: 1.7781
[12:18:04] Step 30480 | Total: 2.2243 | CDS: 2.0418
[12:18:18] Step 30485 | Total: 2.1343 | CDS: 1.9730
[12:18:32] Step 30490 | Total: 2.0556 | CDS: 1.8519
[12:18:46] Step 30495 | Total: 2.2886 | CDS: 2.1362
[12:19:00] Step 30500 | Total: 2.2817 | CDS: 2.1740
[12:19:14] Step 30505 | Total: 2.0503 | CDS: 1.9274
[12:19:29] Step 30510 | Total: 1.9265 | CDS: 1.7832
