[06:38:42] Step 7175 | Total: 1.4774 | CDS: 1.2765
[06:38:59] Step 7180 | Total: 1.6550 | CDS: 1.4201
[06:39:15] Step 7185 | Total: 2.0871 | CDS: 1.6930
[06:39:32] Step 7190 | Total: 1.9837 | CDS: 1.7080
[06:39:48] Step 7195 | Total: 1.5611 | CDS: 1.3565
[06:40:05] Step 7200 | Total: 3.1831 | CDS: 2.8165
[06:40:08] 💾 Full checkpoint saved at Epoch 5, Step 7200, Batch 2499
[06:40:24] Step 7205 | Total: 1.6774 | CDS: 1.3909
[06:40:41] Step 7210 | Total: 2.0256 | CDS: 1.7559
[06:40:57] Step 7215 | Total: 1.9086 | CDS: 1.6524
[06:41:14] Step 7220 | Total: 1.7294 | CDS: 1.5341
[06:41:31] Step 7225 | Total: 2.3014 | CDS: 1.9817
[06:41:47] Step 7230 | Total: 2.0873 | CDS: 1.8652
[06:42:04] Step 7235 | Total: 1.4589 | CDS: 1.2373
[06:42:20] Step 7240 | Total: 1.9039 | CDS: 1.6060
[06:42:37] Step 7245 | Total: 1.5036 | CDS: 1.3120
[06:42:54] Step 7250 | Total: 2.1408 | CDS: 1.9299
[06:43:10] Step 7255 | Total: 1.6405 | CDS: 1.4252
[06:43:27] Step 7260 | Total: 1.5313 | CDS: 1.3227
[06:43:43] Step 7265 | Total: 2.4761 | CDS: 2.2302
[06:44:00] Step 7270 | Total: 2.0662 | CDS: 1.9044
[06:44:17] Step 7275 | Total: 1.8102 | CDS: 1.6300
[06:44:33] Step 7280 | Total: 1.4522 | CDS: 1.2227
[06:44:50] Step 7285 | Total: 1.4887 | CDS: 1.2623
[06:45:06] Step 7290 | Total: 1.9321 | CDS: 1.6895
[06:45:23] Step 7295 | Total: 1.6383 | CDS: 1.4294
[06:45:40] Step 7300 | Total: 1.5716 | CDS: 1.3982
[06:45:56] Step 7305 | Total: 1.7022 | CDS: 1.4577
[06:46:13] Step 7310 | Total: 2.0042 | CDS: 1.6401
[06:46:30] Step 7315 | Total: 1.5015 | CDS: 1.2729
[06:46:46] Step 7320 | Total: 1.7590 | CDS: 1.5643
[06:47:03] Step 7325 | Total: 2.8434 | CDS: 2.6395
[06:47:19] Step 7330 | Total: 1.8606 | CDS: 1.6363
[06:47:36] Step 7335 | Total: 1.8218 | CDS: 1.5518
[06:47:53] Step 7340 | Total: 1.5148 | CDS: 1.3239
[06:48:09] Step 7345 | Total: 2.6085 | CDS: 2.3402
[06:48:26] Step 7350 | Total: 1.6248 | CDS: 1.3868
[06:48:28] 💾 Full checkpoint saved at Epoch 5, Step 7350, Batch 3099
[06:48:45] Step 7355 | Total: 1.7701 | CDS: 1.5991
[06:49:01] Step 7360 | Total: 1.7223 | CDS: 1.4020
[06:49:18] Step 7365 | Total: 1.8162 | CDS: 1.6336
[06:49:35] Step 7370 | Total: 2.1052 | CDS: 1.8027
[06:49:51] Step 7375 | Total: 1.3359 | CDS: 1.1627
[06:50:08] Step 7380 | Total: 1.5974 | CDS: 1.3608
[06:50:24] Step 7385 | Total: 1.5778 | CDS: 1.3941
[06:50:41] Step 7390 | Total: 1.5768 | CDS: 1.3806
[06:50:58] Step 7395 | Total: 2.4003 | CDS: 2.2257
[06:51:14] Step 7400 | Total: 1.7941 | CDS: 1.4782
[06:51:31] Step 7405 | Total: 2.2696 | CDS: 1.9741
[06:51:47] Step 7410 | Total: 1.6046 | CDS: 1.3615
[06:52:04] Step 7415 | Total: 1.5474 | CDS: 1.3478
[06:52:21] Step 7420 | Total: 1.8259 | CDS: 1.6641
[06:52:37] Step 7425 | Total: 1.9892 | CDS: 1.7686
[06:52:54] Step 7430 | Total: 1.6049 | CDS: 1.4366
[06:53:10] Step 7435 | Total: 2.3950 | CDS: 2.1988
[06:53:27] Step 7440 | Total: 1.7411 | CDS: 1.4794
[06:53:44] Step 7445 | Total: 1.5783 | CDS: 1.3495
[06:54:00] Step 7450 | Total: 1.6113 | CDS: 1.3497
[06:54:17] Step 7455 | Total: 1.7119 | CDS: 1.5013
[06:54:34] Step 7460 | Total: 1.5320 | CDS: 1.3264
[06:54:50] Step 7465 | Total: 1.9478 | CDS: 1.7610
[06:55:07] Step 7470 | Total: 1.8281 | CDS: 1.5578
[06:55:23] Step 7475 | Total: 1.5346 | CDS: 1.3376
[06:55:40] Step 7480 | Total: 1.5296 | CDS: 1.3567
[06:55:57] Step 7485 | Total: 1.9806 | CDS: 1.6719
[06:56:13] Step 7490 | Total: 1.7078 | CDS: 1.4875
[06:56:30] Step 7495 | Total: 2.0136 | CDS: 1.7529
[06:56:46] Step 7500 | Total: 1.9096 | CDS: 1.6202
[06:56:49] 💾 Full checkpoint saved at Epoch 5, Step 7500, Batch 3699
[06:57:05] Step 7505 | Total: 1.9422 | CDS: 1.7334
[06:57:22] Step 7510 | Total: 1.5603 | CDS: 1.3564
[06:57:39] Step 7515 | Total: 2.0900 | CDS: 1.6850
[06:57:55] Step 7520 | Total: 1.6925 | CDS: 1.4208
[06:58:12] Step 7525 | Total: 1.7350 | CDS: 1.4636
[06:58:28] Step 7530 | Total: 2.2535 | CDS: 2.0211
[06:58:45] Step 7535 | Total: 2.2172 | CDS: 1.9894
[06:59:02] Step 7540 | Total: 2.2021 | CDS: 1.9671
[06:59:18] Step 7545 | Total: 1.5885 | CDS: 1.3264
[06:59:35] Step 7550 | Total: 1.9166 | CDS: 1.6372
[06:59:52] Step 7555 | Total: 1.6462 | CDS: 1.4230
[07:00:08] Step 7560 | Total: 1.5929 | CDS: 1.3432
[07:00:25] Step 7565 | Total: 1.4834 | CDS: 1.2822
[07:00:41] Step 7570 | Total: 2.4535 | CDS: 2.2013
[07:00:58] Step 7575 | Total: 1.5065 | CDS: 1.3296
[07:01:15] Step 7580 | Total: 1.5636 | CDS: 1.3310
[07:01:31] Step 7585 | Total: 2.0768 | CDS: 1.8161
[07:01:48] Step 7590 | Total: 2.2997 | CDS: 2.0911
[07:02:04] Step 7595 | Total: 1.7005 | CDS: 1.4938
[07:02:21] Step 7600 | Total: 1.5988 | CDS: 1.3743
[07:02:38] Step 7605 | Total: 2.2262 | CDS: 1.9509
[07:02:54] Step 7610 | Total: 1.9269 | CDS: 1.6885
[07:03:11] Step 7615 | Total: 2.1358 | CDS: 1.9118
[07:03:27] Step 7620 | Total: 1.5269 | CDS: 1.3361
[07:03:44] Step 7625 | Total: 1.6609 | CDS: 1.4087
[07:04:01] Step 7630 | Total: 2.0811 | CDS: 1.8849
[07:04:17] Step 7635 | Total: 1.5035 | CDS: 1.3015
[07:04:34] Step 7640 | Total: 2.0568 | CDS: 1.8666
[07:04:50] Step 7645 | Total: 1.7624 | CDS: 1.5851
[07:05:07] Step 7650 | Total: 1.5974 | CDS: 1.3917
[07:05:09] 💾 Full checkpoint saved at Epoch 5, Step 7650, Batch 4299
[07:05:26] Step 7655 | Total: 1.4345 | CDS: 1.2902
[07:05:43] Step 7660 | Total: 2.2812 | CDS: 2.0175
[07:05:59] Step 7665 | Total: 1.5637 | CDS: 1.4037
[07:06:16] Step 7670 | Total: 1.4530 | CDS: 1.2212
[07:06:32] Step 7675 | Total: 2.5627 | CDS: 2.3293
[07:06:49] Step 7680 | Total: 1.9739 | CDS: 1.7576
