[06:43:50] Step 4605 | Total: 2.5277 | CDS: 2.3681
[06:44:05] Step 4610 | Total: 2.6427 | CDS: 2.3665
[06:44:21] Step 4615 | Total: 2.2363 | CDS: 2.0432
[06:44:36] Step 4620 | Total: 2.5578 | CDS: 2.3866
[06:44:51] Step 4625 | Total: 3.0993 | CDS: 2.8227
[06:45:06] Step 4630 | Total: 2.4480 | CDS: 2.2294
[06:45:21] Step 4635 | Total: 2.5282 | CDS: 2.2782
[06:45:37] Step 4640 | Total: 2.6823 | CDS: 2.4416
[06:45:52] Step 4645 | Total: 2.2139 | CDS: 1.9794
[06:46:07] Step 4650 | Total: 2.5623 | CDS: 2.3063
[06:46:08] 💾 Full checkpoint saved at Epoch 3, Step 4650, Batch 2819
[06:46:24] Step 4655 | Total: 2.1894 | CDS: 1.9469
[06:46:39] Step 4660 | Total: 2.2342 | CDS: 2.0048
[06:46:54] Step 4665 | Total: 2.3031 | CDS: 2.1044
[06:47:09] Step 4670 | Total: 2.3164 | CDS: 2.1347
[06:47:24] Step 4675 | Total: 2.1545 | CDS: 1.9552
[06:47:40] Step 4680 | Total: 2.4094 | CDS: 2.1645
[06:47:55] Step 4685 | Total: 2.6939 | CDS: 2.4486
[06:48:10] Step 4690 | Total: 2.7218 | CDS: 2.5005
[06:48:25] Step 4695 | Total: 2.3292 | CDS: 2.1350
[06:48:41] Step 4700 | Total: 2.4134 | CDS: 2.1385
[06:48:56] Step 4705 | Total: 2.6071 | CDS: 2.3703
[06:49:11] Step 4710 | Total: 2.7770 | CDS: 2.5545
[06:49:26] Step 4715 | Total: 2.3410 | CDS: 2.1234
[06:49:41] Step 4720 | Total: 2.5357 | CDS: 2.4032
[06:49:57] Step 4725 | Total: 2.5172 | CDS: 2.2453
[06:50:12] Step 4730 | Total: 2.7898 | CDS: 2.5862
[06:50:27] Step 4735 | Total: 2.4271 | CDS: 2.2026
[06:50:42] Step 4740 | Total: 2.8105 | CDS: 2.6155
[06:50:57] Step 4745 | Total: 2.7160 | CDS: 2.5446
[06:51:13] Step 4750 | Total: 2.6600 | CDS: 2.4280
[06:51:28] Step 4755 | Total: 2.3185 | CDS: 2.1554
[06:51:43] Step 4760 | Total: 2.1516 | CDS: 1.9697
[06:51:58] Step 4765 | Total: 2.6528 | CDS: 2.3404
[06:52:13] Step 4770 | Total: 2.2570 | CDS: 2.0496
[06:52:29] Step 4775 | Total: 2.7225 | CDS: 2.4918
[06:52:44] Step 4780 | Total: 2.4399 | CDS: 2.2628
[06:52:59] Step 4785 | Total: 3.4426 | CDS: 3.1619
[06:53:14] Step 4790 | Total: 2.6809 | CDS: 2.4705
[06:53:30] Step 4795 | Total: 2.4238 | CDS: 2.1685
[06:53:45] Step 4800 | Total: 2.6012 | CDS: 2.3813
[06:53:46] 💾 Full checkpoint saved at Epoch 3, Step 4800, Batch 3419
[06:54:01] Step 4805 | Total: 2.3021 | CDS: 2.0524
[06:54:17] Step 4810 | Total: 2.5732 | CDS: 2.3491
[06:54:32] Step 4815 | Total: 2.3256 | CDS: 2.0911
[06:54:47] Step 4820 | Total: 2.6548 | CDS: 2.4580
[06:55:02] Step 4825 | Total: 2.4698 | CDS: 2.3550
[06:55:17] Step 4830 | Total: 2.8916 | CDS: 2.5942
[06:55:33] Step 4835 | Total: 2.4252 | CDS: 2.1497
[06:55:48] Step 4840 | Total: 3.0387 | CDS: 2.8358
[06:56:03] Step 4845 | Total: 2.1244 | CDS: 1.9930
[06:56:18] Step 4850 | Total: 2.5036 | CDS: 2.2893
[06:56:33] Step 4855 | Total: 2.1603 | CDS: 1.9578
[06:56:49] Step 4860 | Total: 2.3142 | CDS: 2.1121
[06:57:04] Step 4865 | Total: 2.9086 | CDS: 2.6283
[06:57:19] Step 4870 | Total: 2.3648 | CDS: 2.1209
[06:57:34] Step 4875 | Total: 2.8300 | CDS: 2.4720
[06:57:49] Step 4880 | Total: 2.1714 | CDS: 1.9749
[06:58:05] Step 4885 | Total: 2.6904 | CDS: 2.4315
[06:58:20] Step 4890 | Total: 2.6979 | CDS: 2.4734
[06:58:35] Step 4895 | Total: 2.8561 | CDS: 2.6231
[06:58:50] Step 4900 | Total: 2.3024 | CDS: 2.0878
[06:59:06] Step 4905 | Total: 2.3582 | CDS: 2.1327
[06:59:21] Step 4910 | Total: 2.3043 | CDS: 2.0648
[06:59:36] Step 4915 | Total: 2.3983 | CDS: 2.1858
[06:59:51] Step 4920 | Total: 2.2963 | CDS: 2.1015
[07:00:06] Step 4925 | Total: 2.2864 | CDS: 2.0658
[07:00:22] Step 4930 | Total: 2.5520 | CDS: 2.3054
[07:00:37] Step 4935 | Total: 2.1844 | CDS: 1.9273
[07:00:52] Step 4940 | Total: 2.7015 | CDS: 2.4747
[07:01:07] Step 4945 | Total: 2.6549 | CDS: 2.3975
[07:01:23] Step 4950 | Total: 2.6911 | CDS: 2.3657
[07:01:24] 💾 Full checkpoint saved at Epoch 3, Step 4950, Batch 4019
[07:01:39] Step 4955 | Total: 2.7617 | CDS: 2.4802
[07:01:54] Step 4960 | Total: 2.2717 | CDS: 2.1018
[07:02:09] Step 4965 | Total: 2.2757 | CDS: 2.0214
[07:02:25] Step 4970 | Total: 2.3608 | CDS: 2.1282
[07:02:40] Step 4975 | Total: 2.2066 | CDS: 1.9800
[07:02:55] Step 4980 | Total: 2.5606 | CDS: 2.3328
[07:03:10] Step 4985 | Total: 2.5746 | CDS: 2.4183
[07:03:25] Step 4990 | Total: 2.5808 | CDS: 2.3449
[07:03:41] Step 4995 | Total: 2.2560 | CDS: 2.0712
[07:03:56] Step 5000 | Total: 2.6198 | CDS: 2.4331
[07:04:11] Step 5005 | Total: 2.6140 | CDS: 2.3552
[07:04:26] Step 5010 | Total: 2.2162 | CDS: 2.0550
[07:04:41] Step 5015 | Total: 2.8528 | CDS: 2.6268
[07:04:57] Step 5020 | Total: 2.2945 | CDS: 2.1123
[07:05:12] Step 5025 | Total: 2.2649 | CDS: 2.0653
[07:05:27] Step 5030 | Total: 2.2969 | CDS: 2.1048
[07:05:42] Step 5035 | Total: 2.1425 | CDS: 1.9134
[07:05:58] Step 5040 | Total: 2.3209 | CDS: 2.1271
[07:06:13] Step 5045 | Total: 2.6782 | CDS: 2.3747
[07:06:28] Step 5050 | Total: 2.3516 | CDS: 2.1309
[07:06:43] Step 5055 | Total: 2.1084 | CDS: 1.9225
[07:06:58] Step 5060 | Total: 2.8331 | CDS: 2.5774
[07:07:14] Step 5065 | Total: 2.9447 | CDS: 2.6636
[07:07:29] Step 5070 | Total: 2.5372 | CDS: 2.2287
[07:07:44] Step 5075 | Total: 2.4730 | CDS: 2.2529
[07:07:59] Step 5080 | Total: 2.4718 | CDS: 2.2207
[07:08:15] Step 5085 | Total: 2.3645 | CDS: 2.1098
[07:08:30] Step 5090 | Total: 2.5439 | CDS: 2.3278
[07:08:45] Step 5095 | Total: 2.3993 | CDS: 2.2552
[07:09:00] Step 5100 | Total: 2.6659 | CDS: 2.4111
[07:09:02] 💾 Full checkpoint saved at Epoch 3, Step 5100, Batch 4619
[07:09:17] Step 5105 | Total: 2.8146 | CDS: 2.5686
[07:09:32] Step 5110 | Total: 3.2869 | CDS: 3.0638
[07:09:47] Step 5115 | Total: 2.5169 | CDS: 2.2603
[07:10:03] Step 5120 | Total: 2.3549 | CDS: 2.1633
[07:10:18] Step 5125 | Total: 2.1169 | CDS: 1.9297
[07:10:33] Step 5130 | Total: 2.3524 | CDS: 2.1383
[07:10:48] Step 5135 | Total: 2.2711 | CDS: 2.0379
[07:11:03] Step 5140 | Total: 2.7832 | CDS: 2.5231
[07:11:19] Step 5145 | Total: 2.2153 | CDS: 1.9935
[07:11:34] Step 5150 | Total: 2.2488 | CDS: 2.0743
[07:11:49] Step 5155 | Total: 2.3672 | CDS: 2.2185
[07:12:04] Step 5160 | Total: 2.3051 | CDS: 2.1061
[07:12:19] Step 5165 | Total: 2.3468 | CDS: 2.1532
[07:12:35] Step 5170 | Total: 2.4381 | CDS: 2.2331
[07:12:50] Step 5175 | Total: 2.1742 | CDS: 2.0326
[07:13:05] Step 5180 | Total: 2.2884 | CDS: 2.1068
[07:13:20] Step 5185 | Total: 2.4459 | CDS: 2.1957
[07:13:36] Step 5190 | Total: 2.1339 | CDS: 1.9664
[07:13:51] Step 5195 | Total: 2.1030 | CDS: 1.9727
[07:14:06] Step 5200 | Total: 2.6554 | CDS: 2.4581
[07:14:21] Step 5205 | Total: 2.2653 | CDS: 1.9524
[07:14:37] Step 5210 | Total: 2.5310 | CDS: 2.2464
[07:14:52] Step 5215 | Total: 2.7176 | CDS: 2.5018
[07:15:07] Step 5220 | Total: 2.5591 | CDS: 2.3536
[07:15:22] Step 5225 | Total: 2.7293 | CDS: 2.4567
[07:15:37] Step 5230 | Total: 2.2883 | CDS: 2.0877
[07:15:53] Step 5235 | Total: 2.4412 | CDS: 2.1901
[07:16:08] Step 5240 | Total: 2.2217 | CDS: 2.0337
[07:16:23] Step 5245 | Total: 2.2232 | CDS: 1.9976
[07:16:38] Step 5250 | Total: 2.3995 | CDS: 2.1476
[07:16:40] 💾 Full checkpoint saved at Epoch 3, Step 5250, Batch 5219
[07:16:55] Step 5255 | Total: 2.5084 | CDS: 2.3559
[07:17:10] Step 5260 | Total: 3.3660 | CDS: 3.0529
[07:25:39] 📊 Epoch 4 Val: Loss 1.5420
[07:25:42] 💾 Full checkpoint saved at Epoch 4, Step 5260, Batch -1
[07:25:44] 💾 Full checkpoint saved at Epoch 4, Step 5260, Batch -1
[07:26:00] Step 5265 | Total: 2.3876 | CDS: 2.1750
[07:26:15] Step 5270 | Total: 2.2900 | CDS: 2.1215
[07:26:30] Step 5275 | Total: 2.4499 | CDS: 2.2147
[07:26:45] Step 5280 | Total: 2.2094 | CDS: 2.0530
[07:27:01] Step 5285 | Total: 2.4900 | CDS: 2.2236
[07:27:16] Step 5290 | Total: 2.2901 | CDS: 1.9927
[07:27:31] Step 5295 | Total: 2.2580 | CDS: 2.0685
[07:27:46] Step 5300 | Total: 2.5831 | CDS: 2.3743
[07:28:02] Step 5305 | Total: 2.4397 | CDS: 2.2169
[07:28:17] Step 5310 | Total: 2.2983 | CDS: 2.1141
[07:28:32] Step 5315 | Total: 2.4737 | CDS: 2.2674
[07:28:47] Step 5320 | Total: 2.5872 | CDS: 2.3467
[07:29:02] Step 5325 | Total: 2.8470 | CDS: 2.6387
[07:29:18] Step 5330 | Total: 2.3290 | CDS: 2.1912
[07:29:33] Step 5335 | Total: 2.1723 | CDS: 1.9704
[07:29:48] Step 5340 | Total: 2.8719 | CDS: 2.6916
[07:30:03] Step 5345 | Total: 2.4837 | CDS: 2.2480
[07:30:18] Step 5350 | Total: 2.4841 | CDS: 2.1268
[07:30:34] Step 5355 | Total: 2.5367 | CDS: 2.3909
[07:30:49] Step 5360 | Total: 2.4035 | CDS: 2.1997
[07:31:04] Step 5365 | Total: 2.3683 | CDS: 2.1648
[07:31:19] Step 5370 | Total: 2.5994 | CDS: 2.3722
[07:31:34] Step 5375 | Total: 2.2909 | CDS: 2.1097
[07:31:50] Step 5380 | Total: 2.6559 | CDS: 2.4217
[07:32:05] Step 5385 | Total: 2.7408 | CDS: 2.4539
[07:32:20] Step 5390 | Total: 2.3876 | CDS: 2.1978
